,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
0,FAM98A,0.8152179640654195,KIF11,1.9845939119527742,CRYAB,0.39899496894073605,PRKCB,1.0796024890938534,ITGAX,1.6006849283582723,TTYH3,0.16571014209102555
1,WSB2,0.8110235226836051,ECT2,1.9807169875727226,ATOX1,0.3946145545132813,ITK,1.0779759329782126,FYN,1.5820820738804922,ANXA2P1,0.15721868731038463
2,YME1L1,0.8053818842411183,HMGB2,1.9502127506261662,MRAP,0.39178091510583224,IL23A,1.0774279107527538,FERMT3,1.5777307490268473,GCFC,0.15581968615380543
3,SON,0.804068189646894,NEK2,1.9435183774409401,ZNF428,0.3909180618508739,PYHIN1,1.065909528103438,ADA,1.5634252939435718,RPLP1,0.15529096954641375
4,SLC38A2,0.8025108958564054,PTTG3,1.9427370448002774,FHL1,0.39080643527317166,P2RY8,1.0594979478166455,APBB1IP,1.5628685309778392,FAM60A,0.15521811311739056
5,GPR65,0.7943679727444332,RPN2,1.93137486996724,FAM134B,0.38859329243597557,ARHGAP15,1.0565795508557165,MYH9,1.5366470305584041,PSMC5,0.15424929831877573
6,LIMS1,0.7902607583241154,HMMR,1.9277647149412347,ZFYVE19,0.38837002759741096,TRAF3IP3,1.0529282444096533,POLR3K,1.5341382207747427,KIAA1370,0.1537676611692874
7,LARP4,0.7895605042418631,NDUFB10,1.9072231069923564,HOXB7,0.387952207989829,MAP4K1,1.0488802212576787,CCND2,1.5323464986912365,EXOSC2,0.1536932559834631
8,UBE4A,0.7869786580541973,USP10,1.9012680158916633,HSD11B1,0.38774858085082614,CD2,1.0480492377332915,FAM171A1,1.5168209194190703,PABPC4,0.15281082652296088
9,EIF4A1,0.7860787273218928,LYN,1.8998184550751627,RBBP8,0.3870398300863387,IL10RA,1.0464028131783913,SERPING1,1.5161932495493236,CD52,0.1526513038506454
10,ATXN1,0.7857350130902414,C16orf42,1.8915644964668972,APOLD1,0.3838844446934079,PVRIG,1.044421683259583,OAF,1.511352349080872,NDUFB10,0.15260894156587398
11,SLC38A6,0.7856185879779276,CCNB1,1.8789669013135688,SOD1,0.38093232832074164,CLK1,1.0440960852362884,PLCG1,1.5039163210280464,DOCK8,0.15215399115266892
12,UBA3,0.7836166319055959,BOLA2_1,1.8714393607293411,LAD1,0.3798861030189093,CD6,1.040722418156933,TTYH3,1.49476660965699,GATAD2B,0.1520713101505944
13,COG3,0.7800712239130317,APH1A,1.8631453314270063,ZBTB46,0.3794359194503477,CD38,1.0347445170655218,STK10,1.4886097820378095,C12orf76,0.152027291194585
14,C12orf23,0.7797233365642324,SYAP1,1.862103013231928,TMEM132A,0.3783447802840233,SELL,1.0327387387419744,PLEKHO2,1.4864790133492725,MAGI3,0.1516916094277356
15,SAR1A,0.7793712825347703,TARS,1.8611984926907597,SRPK2,0.3757599882749572,SAMD3,1.0302010357303044,PLAGL1,1.4853388003275076,CCDC45,0.15133705475602166
16,RBBP4,0.7789043126520251,PRC1,1.8603738390906406,USP35,0.37498879634775656,CD247,1.0289302371760343,WAS,1.4809741607694287,ARPP19,0.15098489405261645
17,MVP,0.7760812366683751,CD48,1.8541892041854513,C1orf106,0.37435915491295463,SLAMF1,1.0273178150048974,CD53,1.4802062485975158,CSNK1G2,0.15056105722939345
18,MBNL2,0.7748303122038108,CENPW,1.8521311671758318,SLC30A5,0.3741880833875983,CD3D,1.0271940088419063,PARVG,1.4716613667251957,ARL6IP5,0.15039105330668237
19,ATP1B3,0.7728853104944367,HSP90AB3P,1.85103662716029,PCOLCE2,0.37406862535988894,SACM1L,1.0217952864448145,ADPRH,1.4699342360411742,BTK,0.15001426879344523
20,DHX9,0.7709931796339066,NDUFAB1,1.8470330387394929,EFS,0.37384123657889173,RNASEH2B,1.0198997782169883,ANTXR2,1.4691833100460596,MYO1B,0.14971464386243744
21,ARPP19,0.7709458337414943,EIF1AX,1.8468268751555303,FABP4,0.3733839935830167,TRAT1,1.0162847580255072,PLCB2,1.4675729570111138,TSPAN13,0.14968469247770846
22,UBE2G1,0.7709318112371907,C16orf53,1.8461281129527174,TBCC,0.37271083483440426,PTPRCAP,1.0162599851288434,CD4,1.467488207435299,MAN2A1,0.1494879554189162
23,USP8,0.7705135508715989,BUB1,1.8416114789034665,PAQR3,0.3726110686857152,LY9,1.015916621763421,RHOJ,1.4647629653503598,SNRPG,0.14930896934301205
24,EDEM3,0.7699435775364705,NAE1,1.8414430036324472,MST1R,0.37249719721947855,PPP1R16B,1.0153930285145074,ANKRA2,1.4618985719567,RARRES3,0.14900341109151607
25,CCT7,0.7698407607473465,FANCI,1.8342179675767452,GADD45G,0.3724082604664805,PTPN7,1.0142818054264116,LIMK1,1.4617331064082435,PSMD4,0.14880775750774394
