,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
0,HOXA10_1,0.9062267452567419,EMB,2.1096060885848233,HOXB7,0.5443301190338962,OR5T1,0.741727581302372,SLC41A3,1.4165852162197843,C17orf108,0.4018009983594037
1,SULT1C2P1,0.8896022656120506,L3MBTL4,2.1026941213264903,ATOX1,0.5272537644351226,TBC1D29,0.7023491823342016,SLAIN1,1.3646317072894278,AKAP10,0.4001289817705517
2,OPCML,0.875352528395989,BC002741,2.1012221025804947,CRYAB,0.5124438355908436,AI989490,0.701031614304088,KCTD20,1.3558376703064203,OR5B3,0.39900529954408565
3,PTPN9,0.8654685969756802,REG1B,2.0997170950632285,PNMT,0.512196068353097,SEZ6L,0.6918869768674231,BAG5,1.3529383518796145,SMPD5,0.39432732163120615
4,KRT34,0.8636723832802039,KNG1,2.082656999426231,ZFYVE19,0.5111502742740532,BE266556,0.6886128078938055,KATNB1,1.3360262038332742,GABRR1,0.3935658821091997
5,AI671798,0.8626167275355122,WIPI2,2.082214963292898,MRAP,0.5081040241625757,CCKBR,0.6880036304205194,FCN3,1.3322153466963471,AK095242,0.39199364597262704
6,LPA,0.8625897384385305,BQ774050,2.0819887488557427,ITFG2,0.5066151358379968,AI692196,0.6860404156902065,BCL2L1,1.3318669236092895,SEMA3B,0.3910056013996015
7,PLXNB3,0.8595610873555047,TPTEP2,2.078345303098311,APOLD1,0.5054264106901815,LAMB4,0.6815450027875951,ZNF319,1.3284314243813133,FLJ00285,0.3906263906728002
8,MYH2,0.858964263831667,LINC01119,2.0773541779022175,CA775565,0.5034205848444429,BM727559,0.6807295852898914,LIMA1,1.3261609389532774,TOMM34,0.3886938432911866
9,CYP3A7,0.8584483448080251,SPANXA2,2.074762562950034,ATP6V0A4,0.5032676459281633,BU726223,0.6805635594052922,DB027317,1.3236669971430597,THTPA,0.38557731505604537
10,GGT1_1,0.8570750626268782,SLC32A1,2.073879384014772,SERHL2,0.5027114583337078,MAGEA3,0.679775659513481,BU075540,1.3223146161386705,DB027915,0.38484950276824853
